id,dataset,label,subtype,subject,body,style,sender_type,difficulty,ner_organizations,ner_people,ner_locations,ner_job_titles,ner_dates,ner_urls
JOB-00037,job_search,acceptance_progression,assessment,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,automated,hr,medium,,,,,,
JOB-00038,job_search,rejection,post_application_review,Update on your Financial Analyst application,"Thank you for applying for the Financial Analyst position at BluePeak Analytics. After careful consideration, we have decided not to move forward with your application at this time.",human,company,hard,BluePeak Analytics,,,Financial Analyst,,
JOB-00039,job_search,acceptance_progression,move_forward,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,automated,company,easy,,,,,,
JOB-00040,job_search,application_notification,application_status_update,More opportunities for you,"Thank you for applying for Business Analyst. While your application is being reviewed, you may also be interested in other roles that match your profile at BluePeak Analytics. Please note that this message is only a confirmation that we received your application.

Best regards,
Morgan Turner",semi_automated,company,medium,BluePeak Analytics,Morgan Turner,,Business Analyst,,
JOB-00041,job_search,application_notification,thank_you_for_applying,Application status update,Your application for Customer Success Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,automated,recruiter,easy,,,,Customer Success Manager,,
JOB-00042,job_search,application_notification,application_received,Your application has been submitted,Your application for UX Designer at Meridian Health was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,human,recruiter,hard,Meridian Health,,,UX Designer,,
JOB-00043,job_search,application_notification,application_under_review,Application status update,Your application for Data Analyst is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,automated,hiring_manager,adversarial,,,,Data Analyst,,
JOB-00044,job_search,rejection,post_interview,Update on your DevOps Engineer application,"Thank you for applying for the DevOps Engineer position at Oakridge Financial. After careful consideration, we have will not be progressing with your application at this time.",automated,hiring_manager,medium,Oakridge Financial,,,DevOps Engineer,,
JOB-00045,job_search,application_notification,application_submitted,Thanks for applying to Summit Retail,We appreciate your interest in the UX Designer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,hiring_manager,hard,Summit Retail,,,UX Designer,,
JOB-00046,job_search,application_notification,application_under_review,Your application has been submitted,Your application for Operations Specialist at Lighthouse Cloud was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,automated,recruiter,hard,Lighthouse Cloud,,,Operations Specialist,,
JOB-00047,job_search,rejection,generic_automated_rejection,Update on your Business Analyst application,"Thank you for applying for the Business Analyst position at Atlas Software. After careful consideration, we have decided not to move forward with your application at this time.",human,recruiter,easy,Atlas Software,,,Business Analyst,,
JOB-00048,job_search,rejection,post_final_interview,Regarding your application,"Thank you for speaking with our team about the Data Analyst role. we will not be progressing your application to the next stage.

Best regards,
Chris Brown",semi_automated,hr,medium,,Chris Brown,,Data Analyst,,
JOB-00049,job_search,application_notification,application_under_review,More opportunities for you,"Thank you for applying for DevOps Engineer. While your application is being reviewed, you may also be interested in other roles that match your profile at Pinecrest Media.",automated,hiring_manager,medium,Pinecrest Media,,,DevOps Engineer,,
JOB-00050,job_search,rejection,different_direction,Application outcome,The review for the UX Designer position is now complete. We will be moving forward with another candidate. Thank you for your interest in BrightPath Energy.,human,hiring_manager,hard,BrightPath Energy,,,UX Designer,,
JOB-00051,job_search,acceptance_progression,availability_request,Assessment invitation,"We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Frontend Developer role.

Best regards,
Sam Clark",automated,hr,medium,,Sam Clark,,Frontend Developer,,
JOB-00052,job_search,application_notification,application_submitted,Application status update,"Your application for Software Engineer is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.

Best regards,
Morgan Brown",automated,company,easy,,Morgan Brown,,Software Engineer,,
JOB-00053,job_search,application_notification,application_status_update,Application received — Machine Learning Engineer,Thank you for your interest in the Machine Learning Engineer position at Vertex Consulting. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,semi_automated,hr,medium,Vertex Consulting,,,Machine Learning Engineer,,
JOB-00054,job_search,rejection,post_interview,Update on your Marketing Manager application,"Thank you for applying for the Marketing Manager position at Horizon Labs. After careful consideration, we have decided not to move forward with your application at this time.",automated,ats,easy,Horizon Labs,,,Marketing Manager,,
JOB-00055,job_search,acceptance_progression,second_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,semi_automated,ats,adversarial,,,,,,
JOB-00056,job_search,application_notification,application_status_update,Application status update,Your application for Product Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,automated,hr,medium,,,,Product Manager,,
JOB-00057,job_search,acceptance_progression,move_forward,Interview invitation — Project Coordinator,We have reviewed your application for the Project Coordinator position at Silverline Systems and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,human,hr,hard,Silverline Systems,,,Project Coordinator,,https://example.test/schedule
JOB-00058,job_search,rejection,different_direction,Update on your Marketing Manager application,"Thank you for applying for the Marketing Manager position at Northstar Technologies. After careful consideration, we have decided not to move forward with your application at this time.",automated,recruiter,medium,Northstar Technologies,,,Marketing Manager,,
JOB-00059,job_search,application_notification,application_under_review,Thanks for applying to Lighthouse Cloud,We appreciate your interest in the Operations Specialist opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,human,hr,easy,Lighthouse Cloud,,,Operations Specialist,,
JOB-00060,job_search,application_notification,application_status_update,Application status update,Your application for Project Coordinator is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,semi_automated,company,adversarial,,,,Project Coordinator,,
JOB-00061,job_search,acceptance_progression,final_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,human,ats,easy,,,,,,
JOB-00062,job_search,application_notification,application_status_update,Application status update,Your application for Customer Success Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,automated,company,medium,,,,Customer Success Manager,,
JOB-00063,job_search,application_notification,thank_you_for_applying,Thanks for applying to Summit Retail,We appreciate your interest in the Product Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,human,company,medium,Summit Retail,,,Product Manager,,
JOB-00064,job_search,acceptance_progression,first_interview,Interview invitation — UX Designer,We have reviewed your application for the UX Designer position at Horizon Labs and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,semi_automated,company,easy,Horizon Labs,,,UX Designer,,https://example.test/schedule
JOB-00065,job_search,application_notification,application_under_review,Your application has been submitted,Your application for DevOps Engineer at Lighthouse Cloud was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,semi_automated,ats,easy,Lighthouse Cloud,,,DevOps Engineer,,
JOB-00066,job_search,application_notification,application_under_review,Application status update,"Your application for UX Designer is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.

Best regards,
Daniel Clark",automated,recruiter,easy,,Daniel Clark,,UX Designer,,
JOB-00067,job_search,acceptance_progression,assessment,Assessment invitation,"Hello Emma,

We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Business Analyst role.

The interview team is based in Stockholm.",automated,ats,medium,,,Stockholm,Business Analyst,,
JOB-00068,job_search,acceptance_progression,assessment,Offer from Silverline Systems,"Hello Emma,

We are pleased to offer you the Content Strategist position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Oslo.

Best regards,
Emma Andersson",human,company,adversarial,Silverline Systems,Emma Andersson,Oslo,Content Strategist,,https://example.test/offer.
JOB-00069,job_search,acceptance_progression,second_interview,Offer from Cedar Digital,"We are pleased to offer you the Frontend Developer position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",automated,recruiter,medium,Cedar Digital,,,Frontend Developer,,https://example.test/offer.
JOB-00070,job_search,application_notification,application_status_update,Application status update,Your application for Customer Success Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,semi_automated,hiring_manager,easy,,,,Customer Success Manager,,
JOB-00071,job_search,rejection,different_direction,Regarding your application,"Thank you for speaking with our team about the DevOps Engineer role. Unfortunately, we will not be progressing your application to the next stage.",automated,ats,easy,,,,DevOps Engineer,,
JOB-00072,job_search,application_notification,application_under_review,Your application has been submitted,"Your application for Customer Success Manager at Redwood Solutions was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.

Best regards,
Chris Patel",semi_automated,hr,medium,Redwood Solutions,Chris Patel,,Customer Success Manager,,
JOB-00073,job_search,rejection,post_interview,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.

Best regards,
Taylor Chen",automated,recruiter,hard,,Taylor Chen,,,,
JOB-00074,job_search,acceptance_progression,first_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,automated,hr,adversarial,,,,,,
JOB-00075,job_search,application_notification,application_received,Your application has been submitted,"Your application for Data Analyst at Horizon Labs was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.

Best regards,
Sarah Clark",automated,company,hard,Horizon Labs,Sarah Clark,,Data Analyst,,
JOB-00076,job_search,acceptance_progression,offer,Offer from Atlas Software,"We are pleased to offer you the Operations Specialist position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

Best regards,
Chris Chen",human,ats,hard,Atlas Software,Chris Chen,,Operations Specialist,,https://example.test/offer.
JOB-00077,job_search,rejection,generic_automated_rejection,Regarding your application,"Thank you for speaking with our team about the Project Coordinator role. Unfortunately, we will not be progressing your application to the next stage.",human,hiring_manager,easy,,,,Project Coordinator,,
JOB-00078,job_search,rejection,generic_automated_rejection,Application outcome,The review for the Operations Specialist position is now complete. We will be moving forward with another candidate. Thank you for your interest in Silverline Systems.,automated,hiring_manager,medium,Silverline Systems,,,Operations Specialist,,
JOB-00079,job_search,acceptance_progression,offer,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Product Manager role.,automated,hiring_manager,medium,,,,Product Manager,,
JOB-00080,job_search,rejection,different_direction,Your application with Atlas Software,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,semi_automated,company,hard,Atlas Software,,,,,
JOB-00081,job_search,acceptance_progression,second_interview,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Business Analyst role.,semi_automated,company,easy,,,,Business Analyst,,
JOB-00082,job_search,acceptance_progression,move_forward,Offer from Summit Retail,"We are pleased to offer you the Sales Development Representative position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",automated,ats,medium,Summit Retail,,,Sales Development Representative,,https://example.test/offer.
JOB-00083,job_search,rejection,other_candidates,Regarding your application,Thank you for speaking with our team about the Product Manager role. we will not be progressing your application to the next stage.,human,company,easy,,,,Product Manager,,
JOB-00084,job_search,rejection,different_direction,Application outcome,"The review for the Frontend Developer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Horizon Labs.

Best regards,
Casey Patel",automated,hiring_manager,medium,Horizon Labs,Casey Patel,,Frontend Developer,,
JOB-00085,job_search,application_notification,application_received,Your application has been submitted,Your application for Financial Analyst at Lighthouse Cloud was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.,automated,ats,medium,Lighthouse Cloud,,,Financial Analyst,,
JOB-00086,job_search,application_notification,application_submitted,Thanks for applying to Redwood Solutions,We appreciate your interest in the Business Analyst opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,hr,adversarial,Redwood Solutions,,,Business Analyst,,
JOB-00087,job_search,acceptance_progression,final_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,human,hr,hard,,,,,,
JOB-00088,job_search,rejection,other_candidates,Application outcome,The review for the Financial Analyst position is now complete. We will be moving forward with another candidate. Thank you for your interest in Redwood Solutions.,semi_automated,ats,easy,Redwood Solutions,,,Financial Analyst,,
JOB-00089,job_search,rejection,other_candidates,Your application with Horizon Labs,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,human,hiring_manager,hard,Horizon Labs,,,,,
JOB-00090,job_search,rejection,generic_automated_rejection,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",semi_automated,hr,easy,,,,Customer Success Manager,,
JOB-00091,job_search,acceptance_progression,availability_request,Interview invitation — Content Strategist,We have reviewed your application for the Content Strategist position at Cedar Digital and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,human,hr,medium,Cedar Digital,,,Content Strategist,,https://example.test/schedule
JOB-00092,job_search,acceptance_progression,first_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,human,hiring_manager,easy,,,,,,
JOB-00093,job_search,acceptance_progression,move_forward,Offer from Pinecrest Media,"We are pleased to offer you the Marketing Manager position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",semi_automated,recruiter,easy,Pinecrest Media,,,Marketing Manager,,https://example.test/offer.
JOB-00094,job_search,application_notification,application_received,Thanks for applying to Pinecrest Media,We appreciate your interest in the Customer Success Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,company,medium,Pinecrest Media,,,Customer Success Manager,,
JOB-00095,job_search,application_notification,thank_you_for_applying,Application received — Business Analyst,Thank you for your interest in the Business Analyst position at Pinecrest Media. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,human,ats,easy,Pinecrest Media,,,Business Analyst,,
JOB-00096,job_search,rejection,different_direction,Application outcome,The review for the Marketing Manager position is now complete. We will be moving forward with another candidate. Thank you for your interest in Aurora Mobility.,automated,hr,hard,Aurora Mobility,,,Marketing Manager,,
JOB-00097,job_search,application_notification,application_submitted,Thanks for applying to Northstar Technologies,We appreciate your interest in the Software Engineer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,hr,easy,Northstar Technologies,,,Software Engineer,,
JOB-00098,job_search,application_notification,application_submitted,Application received — Financial Analyst,Thank you for your interest in the Financial Analyst position at Aurora Mobility. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step. Please note that this message is only a confirmation that we received your application.,human,company,easy,Aurora Mobility,,,Financial Analyst,,
JOB-00099,job_search,acceptance_progression,second_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,human,hiring_manager,medium,,,,,,
JOB-00100,job_search,rejection,generic_automated_rejection,Application outcome,The review for the Operations Specialist position is now complete. We will be moving forward with another candidate. Thank you for your interest in Pinecrest Media.,human,recruiter,easy,Pinecrest Media,,,Operations Specialist,,
JOB-00101,job_search,acceptance_progression,first_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,semi_automated,ats,hard,,,,,,
JOB-00102,job_search,application_notification,application_submitted,More opportunities for you,"Thank you for applying for Sales Development Representative. While your application is being reviewed, you may also be interested in other roles that match your profile at Atlas Software.",automated,hr,easy,Atlas Software,,,Sales Development Representative,,
JOB-00103,job_search,acceptance_progression,recruiter_screen,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,semi_automated,company,hard,,,,,,
JOB-00104,job_search,application_notification,application_under_review,More opportunities for you,"Thank you for applying for Software Engineer. While your application is being reviewed, you may also be interested in other roles that match your profile at Redwood Solutions.",semi_automated,hr,medium,Redwood Solutions,,,Software Engineer,,
JOB-00105,job_search,rejection,generic_automated_rejection,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",semi_automated,ats,hard,,,,Customer Success Manager,,
JOB-00106,job_search,acceptance_progression,recruiter_screen,Offer from Oakridge Financial,"We are pleased to offer you the Customer Success Manager position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",semi_automated,recruiter,easy,Oakridge Financial,,,Customer Success Manager,,https://example.test/offer.
JOB-00107,job_search,rejection,post_interview,Update on your Project Coordinator application,"Thank you for applying for the Project Coordinator position at Oakridge Financial. After careful consideration, we have decided not to move forward with your application at this time.",human,company,easy,Oakridge Financial,,,Project Coordinator,,
JOB-00108,job_search,application_notification,application_recommended_jobs,Your application has been submitted,"Your application for DevOps Engineer at Northstar Technologies was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.

Best regards,
Sam Martin",semi_automated,company,medium,Northstar Technologies,Sam Martin,,DevOps Engineer,,
JOB-00109,job_search,application_notification,application_status_update,Thanks for applying to Summit Retail,We appreciate your interest in the Machine Learning Engineer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,ats,hard,Summit Retail,,,Machine Learning Engineer,,
JOB-00110,job_search,acceptance_progression,first_interview,Assessment invitation,"Hello Jordan,

We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Marketing Manager role.

The interview team is based in Copenhagen.",human,hr,easy,,,Copenhagen,Marketing Manager,,
JOB-00111,job_search,application_notification,application_submitted,Your application has been submitted,"Your application for Financial Analyst at Summit Retail was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.

Best regards,
Emma Miller",automated,ats,medium,Summit Retail,Emma Miller,,Financial Analyst,,
JOB-00112,job_search,rejection,post_application_review,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",human,hiring_manager,medium,,,,,,
JOB-00113,job_search,acceptance_progression,first_interview,Assessment invitation,"We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Sales Development Representative role.

Best regards,
Avery Andersson",automated,recruiter,easy,,Avery Andersson,,Sales Development Representative,,
JOB-00114,job_search,application_notification,application_recommended_jobs,Thanks for applying to Atlas Software,"We appreciate your interest in the Customer Success Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time. Please note that this message is only a confirmation that we received your application.

Best regards,
Alex Martin",human,company,easy,Atlas Software,Alex Martin,,Customer Success Manager,,
JOB-00115,job_search,rejection,other_candidates,Regarding your application,"Thank you for speaking with our team about the Data Analyst role. we will not be progressing your application to the next stage.

Best regards,
Emma Chen",automated,hr,easy,,Emma Chen,,Data Analyst,,
JOB-00116,job_search,application_notification,thank_you_for_applying,Your application has been submitted,Your application for Frontend Developer at BluePeak Analytics was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,human,company,hard,BluePeak Analytics,,,Frontend Developer,,
JOB-00117,job_search,rejection,generic_automated_rejection,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",human,hr,easy,,,,,,
JOB-00118,job_search,application_notification,thank_you_for_applying,More opportunities for you,"Thank you for applying for Content Strategist. While your application is being reviewed, you may also be interested in other roles that match your profile at Northstar Technologies.",human,hr,hard,Northstar Technologies,,,Content Strategist,,
